<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
FIVE;D;20180411;000000;1.923.5000000;1.965.0000000;1.812.0000000;1.875.0000000;192.975
FIVE;D;20180412;000000;1.875.5000000;1.948.0000000;1.850.0000000;1.913.5000000;194.146
FIVE;D;20180413;000000;1.907.5000000;1.940.0000000;1.881.5000000;1.901.0000000;109.130
FIVE;D;20180416;000000;1.857.0000000;1.938.0000000;1.855.0000000;1.930.0000000;96.051
FIVE;D;20180417;000000;1.945.0000000;2.056.5000000;1.896.5000000;1.969.0000000;174.542
FIVE;D;20180418;000000;1.961.0000000;2.100.0000000;1.960.5000000;2.055.0000000;142.666
FIVE;D;20180419;000000;2.061.0000000;2.095.0000000;1.960.5000000;1.974.0000000;108.519
FIVE;D;20180420;000000;1.974.5000000;1.995.5000000;1.952.0000000;1.974.5000000;79.574
FIVE;D;20180423;000000;1.974.5000000;1.993.5000000;1.908.0000000;1.940.0000000;178.232
FIVE;D;20180424;000000;1.940.0000000;1.953.0000000;1.901.5000000;1.906.5000000;111.331
FIVE;D;20180425;000000;1.906.5000000;1.908.5000000;1.780.5000000;1.800.0000000;432.584
FIVE;D;20180426;000000;1.808.0000000;1.809.0000000;1.654.0000000;1.740.0000000;769.632
FIVE;D;20180427;000000;1.750.0000000;1.825.0000000;1.741.5000000;1.800.0000000;185.315
FIVE;D;20180428;000000;1.812.5000000;1.823.5000000;1.770.0000000;1.803.5000000;21.560
FIVE;D;20180430;000000;1.800.5000000;1.825.0000000;1.781.0000000;1.795.5000000;52.230
FIVE;D;20180502;000000;1.798.0000000;1.840.5000000;1.782.5000000;1.815.0000000;74.041
FIVE;D;20180503;000000;1.815.0000000;1.837.0000000;1.790.0000000;1.801.0000000;59.101
FIVE;D;20180504;000000;1.808.5000000;1.835.0000000;1.797.5000000;1.835.0000000;59.933
FIVE;D;20180507;000000;1.836.0000000;1.861.0000000;1.834.5000000;1.856.5000000;86.890
